100      150     210     320     340     380     400
 39 19,04     3,90    0,00    0,00    0,00    0,00    0,00
 55 26,20     6,80    0,00    0,00    0,00    0,00    0,00
 75 39,00    14,00    1,50    0,00    0,00    0,00    0,00
104 52,44    25,56    4,40    0,00    0,00    0,00    0,00
142 28,12    49,88   16,52    0,00    0,00    0,00    0,00
191  8,24    28,76   42,84    2,10    0,10    0,00    0,00
258  0,00     4,20   24,28   18,68   11,48    2,80    0,80
345  0,00     0,00    1,50   39,00   51,80   32,60   21,20
463  0,00     0,00    0,00    0,70    2,70   11,12   18,32
620  0,00     0,00    0,00    0,00    0,00    0,00    0,00
832  0,00     0,00    0,00    0,00    0,00    0,00    0,00
    93,21   134,44  196,40  314,15  334,47  367,97  396,89
